Section,Rail,Ref,Ref_Class,RefNumber,Value,Voltage Rating,Footprint-Solderable,Footprint-PCBWay,Type,Qty,Temp Rating,Manufacturer,Manufacturer PN (Solderable),DigiKey PN (Solderable),Manufacturer PN (PCBWay),DigiKey PN (PCBWay),Notes
Grill-Auger,AC_110V,C12,C,12,0.22uF,400V,Through-hole,Through-hole,Film Cap,1,-40C to 105C,TDK/EPCOS,B32561J6224K000,495-6846-ND,Same,Same,Metallized polyester snubber cap
Grill-Auger,AC_110V,T2,T,2,BTA12-600BWRG,600V,Through-hole TO-220,Through-hole TO-220,Triac,1,-40C to 125C,STMicroelectronics,BTA12-600BWRG,497-3121-5-ND,Same,Same,12A 600V
Grill-Auger,AC_110V,R10,R,10,22,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-0722RL,311-22.0CRCT-ND,RC0603FR-0722RL,VERIFY ON DIGIKEY,Gate resistor
Grill-Auger,AC_110V,U7,U,7,MOC3063M,N/A,Through-hole DIP-6,Through-hole DIP-6,Optocoupler,1,-40C to 85C,onsemi,MOC3063M,MOC3063M-ND,Same,Same,Zero-cross triac output
Grill-Auger,+3.3V,R11,R,11,200,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-07200RL,311-200CRCT-ND,RC0603FR-07200RL,VERIFY ON DIGIKEY,LED current limit - 200ohm for -40C margin per MOC3063M datasheet Fig 4
Grill-Fan,AC_110V,WirePad5,WirePad,5,FAN 16ga,N/A,Through-hole pad,Through-hole pad,Wire pad,1,N/A,N/A,N/A,N/A,N/A,N/A,AC load connection
Grill-Fan,AC_110V,R12,R,12,200,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-07200RL,311-200CRCT-ND,RC0603FR-07200RL,VERIFY ON DIGIKEY,Snubber resistor across triac
Grill-Fan,AC_110V,C13,C,13,0.22uF,400V,Through-hole,Through-hole,Film Cap,1,-40C to 105C,TDK/EPCOS,B32561J6224K000,495-6846-ND,Same,Same,Metallized polyester snubber cap
Grill-Fan,AC_110V,T4,T,4,BTA12-600BWRG,600V,Through-hole TO-220,Through-hole TO-220,Triac,1,-40C to 125C,STMicroelectronics,BTA12-600BWRG,497-3121-5-ND,Same,Same,12A 600V
Grill-Fan,AC_110V,R13,R,13,22,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-0722RL,311-22.0CRCT-ND,RC0603FR-0722RL,VERIFY ON DIGIKEY,Gate resistor
Grill-Fan,AC_110V,U8,U,8,MOC3063M,N/A,Through-hole DIP-6,Through-hole DIP-6,Optocoupler,1,-40C to 85C,onsemi,MOC3063M,MOC3063M-ND,Same,Same,Zero-cross triac output
Grill-Fan,+3.3V,R14,R,14,200,N/A,0805,0603,Resistor 1%,1,N/A,Yageo,RC0805FR-07200RL,311-200CRCT-ND,RC0603FR-07200RL,VERIFY ON DIGIKEY,LED current limit - 200ohm for -40C margin per MOC3063M datasheet Fig 4
MAX31865-Grill,+3.3V,C21,C,21,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Decoupling cap
MAX31865-Grill,+3.3V,MAX1,MAX,1,MAX31865,N/A,SMD TQFN-20,SMD TQFN-20,RTD-to-Digital Converter,1,-50C to 125C,Analog Devices,MAX31865ATP+,MAX31865ATP+-ND,Same,Same,Grill_Temp
MAX31865-Grill,+3.3V,R1,R,1,430,N/A,0805,0603,Resistor 0.1%,1,N/A,Vishay Dale,TNPW0805430RBEEA,VERIFY ON DIGIKEY,TNPW0603430RBEEA,VERIFY ON DIGIKEY,RREF for PT100 - verify 430ohm vs 400ohm for your RTD type
MAX31865-Grill,+3.3V,C1,C,1,0.22uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB224,VERIFY ON DIGIKEY,CC0603KRX7R7BB224,VERIFY ON DIGIKEY,Filter cap
MAX31865-Grill,+3.3V,C2,C,2,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Bypass cap
MAX31865-Grill,+3.3V,J1,J,1,Connector,N/A,Through-hole,Through-hole,RTD Connector,1,N/A,TBD,TBD,TBD,Same,Same,Grill_Temp probe
MAX31865-Meat1,+3.3V,C22,C,22,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Decoupling cap
MAX31865-Meat1,+3.3V,MAX2,MAX,2,MAX31865,N/A,SMD TQFN-20,SMD TQFN-20,RTD-to-Digital Converter,1,-50C to 125C,Analog Devices,MAX31865ATP+,MAX31865ATP+-ND,Same,Same,Meat1_Temp
MAX31865-Meat1,+3.3V,R2,R,2,430,N/A,0805,0603,Resistor 0.1%,1,N/A,Vishay Dale,TNPW0805430RBEEA,VERIFY ON DIGIKEY,TNPW0603430RBEEA,VERIFY ON DIGIKEY,RREF for PT100
MAX31865-Meat1,+3.3V,C3,C,3,0.22uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB224,VERIFY ON DIGIKEY,CC0603KRX7R7BB224,VERIFY ON DIGIKEY,Filter cap
MAX31865-Meat1,+3.3V,C4,C,4,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Bypass cap
MAX31865-Meat1,+3.3V,J2,J,2,Connector,N/A,Through-hole,Through-hole,RTD Connector,1,N/A,TBD,TBD,TBD,Same,Same,Meat1_Temp probe
MAX31865-Meat2,+3.3V,C23,C,23,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Decoupling cap
MAX31865-Meat2,+3.3V,MAX3,MAX,3,MAX31865,N/A,SMD TQFN-20,SMD TQFN-20,RTD-to-Digital Converter,1,-50C to 125C,Analog Devices,MAX31865ATP+,MAX31865ATP+-ND,Same,Same,Meat2_Temp
MAX31865-Meat2,+3.3V,R3,R,3,430,N/A,0805,0603,Resistor 0.1%,1,N/A,Vishay Dale,TNPW0805430RBEEA,VERIFY ON DIGIKEY,TNPW0603430RBEEA,VERIFY ON DIGIKEY,RREF for PT100
MAX31865-Meat2,+3.3V,C5,C,5,0.22uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB224,VERIFY ON DIGIKEY,CC0603KRX7R7BB224,VERIFY ON DIGIKEY,Filter cap
MAX31865-Meat2,+3.3V,C6,C,6,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Bypass cap
MAX31865-Meat2,+3.3V,J3,J,3,Connector,N/A,Through-hole,Through-hole,RTD Connector,1,N/A,TBD,TBD,TBD,Same,Same,Meat2_Temp probe
MAX31865-Meat3,+3.3V,C24,C,24,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Decoupling cap
MAX31865-Meat3,+3.3V,MAX4,MAX,4,MAX31865,N/A,SMD TQFN-20,SMD TQFN-20,RTD-to-Digital Converter,1,-50C to 125C,Analog Devices,MAX31865ATP+,MAX31865ATP+-ND,Same,Same,Meat3_Temp
MAX31865-Meat3,+3.3V,R4,R,4,430,N/A,0805,0603,Resistor 0.1%,1,N/A,Vishay Dale,TNPW0805430RBEEA,VERIFY ON DIGIKEY,TNPW0603430RBEEA,VERIFY ON DIGIKEY,RREF for PT100
MAX31865-Meat3,+3.3V,C7,C,7,0.22uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB224,VERIFY ON DIGIKEY,CC0603KRX7R7BB224,VERIFY ON DIGIKEY,Filter cap
MAX31865-Meat3,+3.3V,C8,C,8,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Bypass cap
MAX31865-Meat3,+3.3V,J4,J,4,Connector,N/A,Through-hole,Through-hole,RTD Connector,1,N/A,TBD,TBD,TBD,Same,Same,Meat3_Temp probe
MAX31865-Meat4,+3.3V,C25,C,25,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Decoupling cap
MAX31865-Meat4,+3.3V,MAX5,MAX,5,MAX31865,N/A,SMD TQFN-20,SMD TQFN-20,RTD-to-Digital Converter,1,-50C to 125C,Analog Devices,MAX31865ATP+,MAX31865ATP+-ND,Same,Same,Meat4_Temp
MAX31865-Meat4,+3.3V,R5,R,5,430,N/A,0805,0603,Resistor 0.1%,1,N/A,Vishay Dale,TNPW0805430RBEEA,VERIFY ON DIGIKEY,TNPW0603430RBEEA,VERIFY ON DIGIKEY,RREF for PT100
MAX31865-Meat4,+3.3V,C9,C,9,0.22uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB224,VERIFY ON DIGIKEY,CC0603KRX7R7BB224,VERIFY ON DIGIKEY,Filter cap
MAX31865-Meat4,+3.3V,C10,C,10,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,Bypass cap
MAX31865-Meat4,+3.3V,J5,J,5,Connector,N/A,Through-hole,Through-hole,RTD Connector,1,N/A,TBD,TBD,TBD,Same,Same,Meat4_Temp probe
ESP-LCD,+12V,PS3,PS,3,LM7805CT/NOPB,N/A,Through-hole TO-220,Through-hole TO-220,LDO Voltage Regulator,1,-40C to 125C,Texas Instruments,LM7805CT/NOPB,296-47192-ND,Same,Same,12V to 5V 1.5A for Grayhill
ESP-LCD,+12V,C28,C,28,0.22uF,25V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R8BB224,VERIFY ON DIGIKEY,CC0603KRX7R8BB224,VERIFY ON DIGIKEY,LDO input cap
ESP-LCD,+5.0V,C29,C,29,0.1uF,16V,0805,0603,X7R Ceramic MLCC,1,-55C to 125C,Yageo,CC0805KRX7R7BB104,311-1142-1-ND,CC0603KRX7R7BB104,VERIFY ON DIGIKEY,LDO output cap
ESP-LCD,+3.3V,ESP1,ESP,1,ESP32-WROOM-32E,N/A,SMD Module,SMD Module,MCU WiFi/BT Module,1,-40C to 85C,Espressif,ESP32-WROOM-32E-N4,1965-ESP32-WROOM-32E-N4-CT-ND,Same,Same,Main controller 4MB flash
ESP-LCD,+3.3V,LCD1,LCD,1,SPI TFT LCD,N/A,Through-hole/FPC,Through-hole/FPC,3.5 inch TFT Display,1,N/A,TBD,TBD,TBD,Same,Same,SPI interface
ESP-LCD,+5.0V,GN1,GN,1,b24C32-19-P,N/A,Through-hole,Through-hole,Grayhill Rotary Encoder,1,-40C to 70C,Grayhill,b24C32-19-P,VERIFY - PN NOT FOUND ON DIGIKEY,Same,Same,5V powered via PS3 - verify part number
